,id,Name,Birth Date,Country of Origin,Hat,Hat Brand,Hat Colour,Glasses,Glasses Brand,Glasses Colour,Shirt,Shirt brand,Shirt colour,Jeans,Jeans brand,Jeans colour,Bag,Bag Brand,Bag Colour,Cane,Shoes,Shoes Brand,Shoes colour
0,1,Winona,18/11/1987,Brazil,Bobble hat,Woolrich,Red and white,Round Glasses,Michael Kors,Black,Long-sleeve,Calvin Klein,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Under Armour,Brown
1,2,Wayne,03/03/1987,United Kingdom,Bobble hat,Canada Goose,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Under Armour,Brown
2,3,Wayne,29/06/1987,United Kingdom,Bobble hat,Canada Goose,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Jordan,Brown
3,4,Wayne,13/01/1987,India,Bobble hat,Woolrich,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Jordan,Brown
4,5,Wallace,15/07/1987,Japan,Bobble hat,UGG,Red and white,Round Glasses,Versace,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Vans,Brown
5,6,Wanda,17/12/1987,India,Bobble hat,Carhartt,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,New Balance,Brown
6,7,Wanda,15/08/1987,Japan,Bobble hat,Canada Goose,Red and white,Round Glasses,Oakley,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Louis Vuitton,Brown,Wood,Casual Shoes,Under Armour,Brown
7,8,Wayne,22/05/1987,Japan,Bobble hat,Woolrich,Red and white,Round Glasses,Michael Kors,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Under Armour,Brown
8,9,Wallace,21/01/1987,Japan,Bobble hat,Woolrich,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Tommy Hilfiger,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Yves Saint Laurent,Brown,Wood,Casual Shoes,Nike,Brown
9,10,Winona,03/09/1987,India,Bobble hat,Carhartt,Red and white,Round Glasses,Versace,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Skechers,Brown
10,11,Wilhelm,24/07/1987,India,Bobble hat,Canada Goose,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Under Armour,Brown
11,12,Wesley,26/10/1987,France,Bobble hat,Carhartt,Red and white,Round Glasses,Gucci,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Skechers,Brown
12,13,Wayne,21/06/1987,India,Bobble hat,Canada Goose,Red and white,Round Glasses,Burberry,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Louis Vuitton,Brown,Wood,Casual Shoes,Skechers,Brown
13,14,Wanda,11/03/1987,Japan,Bobble hat,Barts,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Chanel,Brown,Wood,Casual Shoes,Under Armour,Brown
14,15,Wilhelm,26/01/1987,United Kingdom,Bobble hat,Canada Goose,Red and white,Round Glasses,Gucci,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Louis Vuitton,Brown,Wood,Casual Shoes,Skechers,Brown
15,16,Whitley,03/12/1987,Brazil,Bobble hat,Patagonia,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Diesel,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Converse,Brown
16,17,Wayne,23/08/1987,Japan,Bobble hat,Woolrich,Red and white,Round Glasses,Oakley,Black,Long-sleeve,Lacoste,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,New Balance,Brown
17,18,Walter,01/12/1987,Germany,Bobble hat,Woolrich,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Calvin Klein,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Under Armour,Brown
18,19,Weston,21/04/1987,France,Bobble hat,Canada Goose,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,H&M,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Skechers,Brown
19,20,Weston,20/05/1987,United States,Bobble hat,UGG,Red and white,Round Glasses,Versace,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Guess,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Reebok,Brown
20,21,Wesley,12/05/1987,France,Bobble hat,The North Face,Red and white,Round Glasses,Gucci,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Under Armour,Brown
21,22,Winona,18/06/1987,India,Bobble hat,Carhartt,Red and white,Round Glasses,Chanel,Black,Long-sleeve,Hugo Boss,Red and white stripes,Straight Leg Jeans,Guess,Blue,Messenger bag,Louis Vuitton,Brown,Wood,Casual Shoes,Jordan,Brown
22,23,Walter,30/11/1987,Japan,Bobble hat,Beanie Babies,Red and white,Round Glasses,Versace,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Michael Kors,Brown,Wood,Casual Shoes,Jordan,Brown
23,24,Wayne,21/12/1987,United Kingdom,Bobble hat,Woolrich,Red and white,Round Glasses,Gucci,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,AG Jeans,Blue,Messenger bag,Hermès,Brown,Wood,Casual Shoes,Nike,Brown
24,25,Wesley,27/05/1987,United Kingdom,Bobble hat,Fjällräven,Red and white,Round Glasses,Michael Kors,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Vans,Brown
25,26,Weston,15/09/1987,France,Bobble hat,Carhartt,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,J.Crew,Red and white stripes,Straight Leg Jeans,Wrangler,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Skechers,Brown
26,27,Walter,01/09/1987,Canada,Bobble hat,Canada Goose,Red and white,Round Glasses,Ray-Ban,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Guess,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Converse,Brown
27,28,Winona,22/06/1987,Brazil,Bobble hat,Carhartt,Red and white,Round Glasses,Tom Ford,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,Calvin Klein Jeans,Blue,Messenger bag,Gucci,Brown,Wood,Casual Shoes,Skechers,Brown
28,29,Winifred,30/06/1987,China,Bobble hat,Barts,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Gap,Red and white stripes,Straight Leg Jeans,Lee,Blue,Messenger bag,Burberry,Brown,Wood,Casual Shoes,Under Armour,Brown
29,30,Winston,03/11/1987,India,Bobble hat,Fjällräven,Red and white,Round Glasses,Gucci,Black,Long-sleeve,Levi's,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Nike,Brown
30,31,Wallace,27/11/1987,India,Bobble hat,Barts,Red and white,Round Glasses,Dolce & Gabbana,Black,Long-sleeve,Brooks Brothers,Red and white stripes,Straight Leg Jeans,True Religion,Blue,Messenger bag,Coach,Brown,Wood,Casual Shoes,Skechers,Brown
